Country,Clicks,Impressions,CTR,Position
Australia,156,23116,0.67%,28.28
India,3,185,1.62%,25.63
United States,1,1104,0.09%,19.11
Philippines,1,119,0.84%,12.93
Kenya,1,73,1.37%,8.3
South Africa,1,38,2.63%,4.89
Vietnam,1,26,3.85%,23.54
Pakistan,1,25,4%,26.12
Botswana,1,11,9.09%,1.09
China,1,8,12.5%,19.12
Nepal,1,8,12.5%,25.25
Hungary,1,3,33.33%,1.67
Singapore,0,92,0%,60.25
United Kingdom,0,80,0%,32.24
Denmark,0,76,0%,23.3
Brazil,0,64,0%,19.64
Canada,0,56,0%,10.71
Indonesia,0,32,0%,23.19
Spain,0,26,0%,16.31
Bangladesh,0,25,0%,31.88
Ghana,0,24,0%,4.17
Mexico,0,24,0%,29.88
New Zealand,0,22,0%,26
Russia,0,21,0%,36.95
France,0,20,0%,29.45
Turkey,0,20,0%,37
Malaysia,0,19,0%,23.63
United Arab Emirates,0,18,0%,24.67
Saudi Arabia,0,18,0%,34.06
Japan,0,17,0%,35.88
Malawi,0,15,0%,4.2
Italy,0,15,0%,17.27
Ethiopia,0,15,0%,20.2
Nigeria,0,15,0%,20.2
Argentina,0,15,0%,32.87
Ireland,0,15,0%,37.4
Zambia,0,13,0%,5
Sri Lanka,0,13,0%,9.69
Poland,0,12,0%,5.5
Thailand,0,11,0%,29
Colombia,0,11,0%,29.91
Uganda,0,10,0%,4.7
Romania,0,10,0%,9.8
Switzerland,0,10,0%,14.6
Fiji,0,9,0%,1.11
South Korea,0,9,0%,12.44
Ukraine,0,9,0%,28.44
Sweden,0,9,0%,28.56
Egypt,0,9,0%,40.22
Zimbabwe,0,8,0%,3.25
Tanzania,0,8,0%,6.38
Germany,0,8,0%,8.5
Algeria,0,8,0%,26.88
Trinidad & Tobago,0,7,0%,3.14
Papua New Guinea,0,7,0%,3.29
Hong Kong,0,7,0%,5.14
Jamaica,0,7,0%,9.29
Netherlands,0,7,0%,18.43
Peru,0,7,0%,23.71
Namibia,0,5,0%,4
Oman,0,5,0%,23.6
Iraq,0,5,0%,58.4
Lesotho,0,4,0%,3
Bhutan,0,4,0%,3.5
El Salvador,0,4,0%,12
Ecuador,0,4,0%,13.25
Morocco,0,4,0%,21
Portugal,0,4,0%,35.75
Austria,0,4,0%,41.5
Bulgaria,0,3,0%,1.67
Taiwan,0,3,0%,3.33
Rwanda,0,3,0%,4
British Virgin Islands,0,3,0%,7.33
Czechia,0,3,0%,9.33
Puerto Rico,0,3,0%,9.33
Kuwait,0,3,0%,17.67
Myanmar (Burma),0,3,0%,21.33
Greece,0,3,0%,23.33
Albania,0,3,0%,29
Belgium,0,3,0%,37.67
Tunisia,0,3,0%,53.33
Belarus,0,3,0%,54
Venezuela,0,3,0%,58.33
Azerbaijan,0,3,0%,68.67
Qatar,0,2,0%,1
Vanuatu,0,2,0%,2.5
Seychelles,0,2,0%,3.5
Lithuania,0,2,0%,9
Estonia,0,2,0%,11
Côte d’Ivoire,0,2,0%,14.5
Panama,0,2,0%,26
Cambodia,0,2,0%,26.5
Dominican Republic,0,2,0%,27
Israel,0,2,0%,31
Cameroon,0,2,0%,45.5
Guatemala,0,2,0%,52.5
Moldova,0,2,0%,59
Uzbekistan,0,2,0%,65.5
Iran,0,2,0%,80
Brunei,0,1,0%,1
Dominica,0,1,0%,1
Libya,0,1,0%,1
Malta,0,1,0%,1
Mauritius,0,1,0%,1
Norway,0,1,0%,1
Sierra Leone,0,1,0%,1
Slovakia,0,1,0%,1
Turks & Caicos Islands,0,1,0%,1
Guyana,0,1,0%,2
Cyprus,0,1,0%,6
Madagascar,0,1,0%,7
Nicaragua,0,1,0%,7
Georgia,0,1,0%,9
Mongolia,0,1,0%,9
Congo - Kinshasa,0,1,0%,12
Tonga,0,1,0%,12
Bolivia,0,1,0%,24
Lebanon,0,1,0%,48
Kyrgyzstan,0,1,0%,49
Palestine,0,1,0%,50
Honduras,0,1,0%,53
Angola,0,1,0%,61
Kazakhstan,0,1,0%,77
Latvia,0,1,0%,81
Chile,0,1,0%,82
Senegal,0,1,0%,92