Top pages,Clicks,Impressions,CTR,Position
https://www.sesmelbourne.com.au/?utm_campaign=gmb,74,4174,1.77%,5.11
https://www.sesmelbourne.com.au/,70,11151,0.63%,28.05
https://www.sesmelbourne.com.au/blog/comprehensive-guide-to-electrical-testing,16,5181,0.31%,22.63
https://www.sesmelbourne.com.au/blog/importance-of-electrical-testing,3,1252,0.24%,36.74
https://www.sesmelbourne.com.au/services/air-conditioning,3,430,0.7%,42.2
https://www.sesmelbourne.com.au/services/data-and-tv,2,238,0.84%,14.02
https://www.sesmelbourne.com.au/services/electrical-testing,1,1670,0.06%,41.97
https://www.sesmelbourne.com.au/services/renewable-energy,1,1160,0.09%,46.99
https://www.sesmelbourne.com.au/services/telecommunications,1,775,0.13%,27.7
https://www.sesmelbourne.com.au/services/commercial-electrician,0,831,0%,44.46
https://www.sesmelbourne.com.au/services/electrical-testing/switchboard-upgrades,0,666,0%,59.11
https://www.sesmelbourne.com.au/services/lighting,0,517,0%,42.59
https://www.sesmelbourne.com.au/services/catering-maintenance,0,147,0%,29.22
https://www.sesmelbourne.com.au/faq,0,136,0%,19.89
https://www.sesmelbourne.com.au/services,0,121,0%,9.89
https://www.sesmelbourne.com.au/blog,0,82,0%,10.52
https://www.sesmelbourne.com.au/terms,0,75,0%,8.72
https://www.sesmelbourne.com.au/blog/benefits-of-structured-cabling,0,69,0%,16.22
https://www.sesmelbourne.com.au/blog/unleash-the-power-of-your-entertainment,0,57,0%,20
https://www.sesmelbourne.com.au/#about,0,18,0%,3.28
https://www.sesmelbourne.com.au/#contact,0,18,0%,3.28
https://www.sesmelbourne.com.au/#services,0,13,0%,2.85
https://www.sesmelbourne.com.au/blog/harnessing-the-power-of-renewables,0,13,0%,7.23
https://www.sesmelbourne.com.au/blog/VEEC-guide-air-conditioning,0,9,0%,5.56
https://www.sesmelbourne.com.au/blog/illuminate-your-space,0,8,0%,7
https://www.sesmelbourne.com.au/sitemap.xml,0,7,0%,5.43
https://www.sesmelbourne.com.au/locations/electrician-moonee-ponds,0,7,0%,19
https://www.sesmelbourne.com.au/blog/get-the-most-from-your-nbn,0,5,0%,1.6
https://www.sesmelbourne.com.au/blog/ultimate-guide-to-catering-maintenance,0,5,0%,18
https://www.sesmelbourne.com.au/blog/tag/split-system,0,3,0%,12
https://www.sesmelbourne.com.au/blog/ensuring-safety-and-efficiency,0,2,0%,3.5